project_name,team_name,description,github_url,track_name,technologies,team_members,demo_url,video_url
Decentralized P2P Lending Circles,Team_1,,,,,,,
Comprehensive Banking Services,Team_2,,,,,,,
Asset Tokenization Engine,Team_3,,,,,,,
Financial Inclusion Infrastructure,Team_4,,,,,,,
Step Wise,Team_33920,"StepWise is a project made up of three applications designed to provide all the necessary care for children with Down syndrome, using advanced technologies such as IoT robotics, AI agents, automation, and blockchain. The applications offer fully adapted solutions developed in consultation with Down syndrome associations and their experts. Enabling children with Down syndrome to acquire essential skills for their daily, social, and professional lives through an interactive, personalized, and a...",https://github.com/ahmeddouss/Step-wise.git,DLT for Operations,AI / Robotics,,https://step-wise.framer.website/,https://www.youtube.com/watch?v=uCnTuOKiRfE
elka's domainFi,Team_33912,"This is a generation domain marketplace designed to make buying, selling, and investing in digital real estate simple, transparent, and rewarding. For Entrepreneurs & Creators: Easily discover and secure the perfect name to launch projects, startups, or communities. For Domain Owners: Unlock liquidity by listing domains in a secure, trusted environment with fair pricing and smooth transactions. For Investors: Treat domains as a true asset class, with tools to track, manage, and grow portfolio...",,Onchain Finance & Real-World Assets (RWA),Crypto / Web3DeFi,,https://www.linkedin.com/in/rotich-elkana-8b191b384?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=android_app,
AgriSense AI,Team_33907,"DESCRIPTION AgriSense AI isn’t just another agri-tech project. It’s a complete agricultural revolution. An AI-powered DePIN ecosystem that actively detects pests, diseases, drought, and vegetation health through smartphone photos, drones, live feeds, and satellite imagery. Beyond detection, it distributes rewards, enables automated insurance, and saves harvests TODAY. WHAT MAKES OUR PROJECT UNBEATABLE",https://github.com/Bigdreams415/AgriSense-AI.git,DLT for Operations,"AI / Robotics, 1, 3",,,https://youtu.be/Lq_KbfINthI
Safi,Team_33906,"The Safi project solves the problem of artists and creators losing control over their work — especially in Africa, where creative works (art, music, videos, crafts) are often exploited, copied, or sold without proper attribution, proof of ownership, or fair compensation. By combining a social platform (where creators can share and engage with fans) with blockchain-powered ownership certificates and royalties, Safi ensures that:",https://github.com/bahatijacklee/Safi.git,DLT for Operations,Crypto / Web3Hedera,,https://safi-tau.vercel.app/,
MamaCredit,Team_33904,"MamaCredit is a revolutionary decentralized application that bridges the gap between traditional African women's savings circles (Susu/Tontines) and modern blockchain technology. Built on the Hedera network, our platform empowers African women, particularly those from underserved communities, to achieve financial independence through trusted, transparent, and culturally-rooted financial practices. Across Africa, millions of women participate in informal savings circles, but face challenges in...",https://github.com/Labi-Joy/mamacredit,Onchain Finance & Real-World Assets (RWA),1,,https://mamacredit.vercel.app/,
Scholarce,Team_33901,"Access to quality tutoring across Africa is limited by geographic, economic, and trust barriers. Traditional education systems often fail to meet the needs of diverse learners, leaving students, parents, and educators disconnected. Scholarce is a Web3-powered education platform that bridges the gap between qualified tutors, busy parents, and motivated students. Through decentralized learning, secure smart contract payments, and transparent reputation systems, Scholarce empowers learners and d...",,DLT for Operations,"1, 2",,,
Jingga,Team_33900,"Jingga is a dynamic multiplayer game that combines open-world freedom with Hedera's blockchain technology. Set in a vibrant urban environment, players engage in freeroam exploration, competitive game modes, and clan warfare while truly owning their digital assets through NFTs and tokens. The game transforms traditional multiplayer gaming into an immersive Web3 experience where every achievement has real value.",https://github.com/jinggaworld,Onchain Finance & Real-World Assets (RWA),"Crypto / Web3Hedera, 1",,,https://www.youtube.com/watch?v=xsTjznovf-s
HederaTrack – Transparent Supply Chain Tracker for Oil & Gas,Team_33898,"Africa’s oil & gas industry loses millions due to fraud, delays, and inefficiencies in supply chains. Paper-based documentation and siloed databases make materials easy to divert, track poorly, and create disputes. HederaTrack uses Hedera DLT to create a transparent, tamper-proof supply chain system that: - 📦 Tokenizes materials with metadata (batch, supplier, shipment ID) - 📲 Tracks movements via QR/NFC scans recorded on Hedera Consensus Service",,DLT for Operations,Other,,,
Agri-Token,Team_33896,"AgriToken is a revolutionary decentralized web application that bridges traditional agriculture financing with blockchain technology. Our platform enables farmers to convert their verified payment receipts into liquid digital assets on the Hedera network, providing immediate access to capital while offering investors opportunities to participate in agricultural commerce. Farmers often face liquidity challenges due to delayed payment cycles, seasonal fluctuations, and limited access to traditi...",https://github.com/Benjamin-23/farmer-tokenization/tree/main,Onchain Finance & Real-World Assets (RWA),,,https://farmer-tokenization.vercel.app/,
Rex Tracker,Team_33894,"Our Mission REX exists to create transparency and accountability in law enforcement through comprehensive documentation and community empowerment. Why This Matters Police brutality cases often go undocumented or unreported, making it difficult to understand patterns and hold authorities accountable. Our platform bridges this gap by providing a comprehensive, transparent view of incidents across Kenya.",https://github.com/SK3CHI3/REX,DLT for Operations,Other,,,
ShTraders,Team_33890,"ShTraders is the first decentralized Forex trading platform bringing spot currency pairs into Web3. Our mission is to make forex trading transparent, accessible, and intelligent through decentralization, tokenization, and AI. Vision We aim to transform forex by introducing the first Web3-native spot forex marketplace where: - Traders access real-time price feeds and AI-powered analysis. - A secure decentralized wallet manages user funds and tokenized forex assets.",https://github.com/TeSharma/automatic-computing-machine,Onchain Finance & Real-World Assets (RWA),,,https://te-sharma-rbeu.vercel.app/,
HederaHarvest,Team_33889,"Problem: Smallholder farmers in Africa face fragmented markets, delayed payments, limited price discovery, and difficulties proving product origin and quality. Buyers and exporters struggle with trust and traceability. Solution: HederaHarvest is a dApp combining: a lightweight web/mobile frontend for farmers and buyers, Hedera Token Service (HTS) to tokenize listings and payment vouchers (HBAR-compatible tokens),",,DLT for Operations,"Crypto / Web3, 1",,,
EduVerify,Team_33886,"EduVerify – Trust Certificates with Hedera EduVerify is a blockchain-powered solution designed to eliminate fake academic certificates. The platform allows universities to issue tamper-proof digital credentials directly on Hedera, while students can share them with employers through unique IDs or QR codes. Employers and institutions can instantly verify the authenticity of any certificate without relying on manual checks.",https://github.com/ukashaaliyu5588-arch,DLT for Operations,,,,
FarmFi Trace — Hedera Supply Chain for Agriculture,Team_33884,"A simple, fast, and transparent way to trace farm produce from harvest to sale using Hedera. Farmers, distributors, and retailers record product events on Hedera Consensus Service (HCS). Consumers verify provenance via QR codes. - DLT for Operations - AI Agent: No Agricultural value chains across Africa struggle with fraud, spoilage, delayed payments, and lack of trust. Paper-based records are easy to tamper with and hard to audit. FarmFi Trace provides tamper-proof, verifiable product histor...",,DLT for Operations,Other,,,
Umoja Africa,Team_33872,"Project Name Umoja Africa – Connecting Underserved Communities with Philanthropy Vision Empower underserved African communities by providing a platform that connects them with philanthropists, NGOs, and corporate partners, ensuring their needs are visible and aid reaches those who need it most. Problem Millions of African communities remain invisible due to insecurity, lack of reliable data, and limited communication, leaving urgent needs in health, education, water, and livelihoods unmet.",,DLT for Operations,Other,,https://www.linkedin.com/in/mbuh-jude-amah-b6a067357?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=android_app,
Nexa,Team_33871,"BUIDL Proposal – Nexa: Decentralized Social Media for Africa A Hedera-powered social app where users own their posts, earn from engagement, and join tokenized communities — Africa’s Web3 alternative to Twitter/X. Problem Statement Traditional social media platforms (Twitter, Instagram, TikTok) are centralized — users don’t own their content or data. Creators in Africa often struggle to monetize content due to limited payout options and reliance on ads.",,Onchain Finance & Real-World Assets (RWA),,,,
EduChain Achieve,Team_33868,"EduChain Achieve is a decentralized credential verification platform built on Hedera Hashgraph that tokenizes educational achievements as immutable digital assets. By leveraging blockchain technology, we eliminate credential fraud while providing instant, tamper-proof verification for employers and academic institutions. Our platform creates trusted connections between students, educators, and employers across Africa through secure digital wallets, QR-based verification, and a sustainable tok...",https://github.com/Kobiwizards/EduChain-Achieve.git,Onchain Finance & Real-World Assets (RWA),"1, 2",,,
Soneya HealthCard,Team_33866,"Soneya HealthCard : ""Your Health, Your Data, Your Power"" Problem: In Africa, especially Guinea, patients face fragmented medical records, counterfeit drugs, and poor preventive care. Lives are lost because data is inaccessible due to traditional medical record still used in hospitals, trust is broken, and health systems lack transparency. Solution: Soneya HealthCard provides every patient with a secure digital medical identity through NFC/QR cards and a mobile app, powered by Hedera. Patients...",,DLT for Operations,1,,,
Hedera Gigs (hGigs),Team_33865,"Hedera Gigs is reimagining the online service marketplace by building a trustless, transparent, and borderless gig economy on Hedera. Our vision is to empower freelancers and service providers worldwide with fair opportunities, instant settlement, and provable reputation, while giving clients secure, verifiable, and cost-efficient access to talent. We envision a future where: - Freelancers own their work history through on-chain proof of completed gigs and ratings, creating portable reputatio...",https://github.com/hederagigs,Onchain Finance & Real-World Assets (RWA),1,,https://hgigs.vercel.app/,
Playdera,Team_33864,"Playdera is a Web3 gaming hub built on Hedera. It aims to turn gameplay into real digital ownership. Players can earn Hedera-based tokens, collect and trade NFTs, and create their own in-game assets. By combining GameFi, X-2-Earn, and the creator economy, Playdera makes crypto fun and accessible to a broad audience. Key Features: - Mini-Games with Rewards: Complete simple games or quests to earn tokens.",https://github.com/ElijahCodes12345,Immersive Experience,Crypto / Web3GameFiX-2-EarnCreator Economy,,,
HTT Developer,Team_33853,"HTT Developer is a user-friendly platform designed to simplify the integration of Hedera’s services, including HTS and smart contracts, for developers. With an intuitive UX/UI, HTT Developer streamlines the process of building and deploying Hedera-based applications, enabling both new and experienced developers to efficiently leverage Hedera’s blockchain features. The platform ensures that users can easily manage tokens, track transactions, and interact with decentralized applications on Hedera.",,DLT for Operations,Quantum Computing,,,
GreenMint,Team_33847,"GreenMint is a Web3 project that leverages Hedera Hashgraph to mint unique NFTs representing real-world trees. Every NFT sale contributes to verified tree-planting initiatives, combining digital ownership with real-world environmental impact. Problem: Environmental sustainability projects struggle to engage younger, digitally-native audiences. Traditional NFT projects often lack tangible, real-world utility, making them purely speculative.",,DLT for Operations,1,,,
GreenTrace,Team_33845,"Current supply chains are opaque. Consumers have no way to verify if a product is truly organic or ethically sourced, and companies struggle with counterfeit goods. GreenTrace uses Hedera Consensus Service (HCS) to create an immutable, publicly verifiable audit trail for any product. Each step of the journey, from farm to store, is time stamped and logged on Hedera, providing unparalleled transparency.",,DLT for Operations,"Other, 1",,,
Acca,Team_33840,"We are building Acca, the African Heritage Metaverse — a series of virtual worlds inspired by pre-colonial African kingdoms. Each world would have five themed locations: 1. Plaza (Civic Hub) → Governance & voting. 2. Oba/King’s Palace (Leadership Hub) → Community recognition & laws. 3. Library/Archive (Knowledge Hub) → Cultural storytelling, shared memory. 4. Sacred Area (Spiritual Hub) → Festivals, meditation, spiritual identity.",,Immersive Experience,"Crypto / Web3NFTMetaverseCreator EconomyHedera, 1",,,
AGRITRACE,Team_33839,"BUILD Submission: AgriTrace Project Name AgriTrace – Transparent Agriculture Supply Chain on Hedera Problem Farmers in Nigeria and across Africa face challenges with fake produce, middlemen exploitation, and lack of traceability. Buyers (local and international) have low trust in product authenticity, leading to reduced profits for genuine farmers. Solution AgriTrace is a Hedera-powered supply chain platform that registers agricultural produce on-chain, enables instant digital payments, and e...",,DLT for Operations,1,,,
"Smart power regulation devices (APRD), AI- and IoT-enabled energy efficiency on Hedera",Team_33834,"Building Overview – Jungle Power Engineering PLC Our facility is a state-of-the-art industrial and innovation hub designed to support research, development, and production of advanced energy solutions. The building houses: - R&D Labs: Equipped with modern testing equipment, embedded systems workstations, and IoT/automation prototyping stations. - Manufacturing Units: Dedicated spaces for assembling AI- and IoT-enabled devices like the Smart Power Regulation Device (SPRD) and other power regul...",,DLT for Operations,1,,,https://youtu.be/tCiIWS3St2k
Oncare,Team_33832,"A social support network for cancer patients, survivors, caregivers, and health coaches&#x20; onCare blends community connection, mentorship, and blockchain-powered rewards (via Hedera) to create a safe, stigma-free, and motivating environment for healing and resilience.",https://github.com/On-Cure/Oncure.git,DLT for Operations,2,,https://oncare19.vercel.app/,https://www.youtube.com/watch?v=EkNfxxZ6EvQ
AGRICHAIN,Team_33826,"Title AgriChain — Hedera-native custody + escrow to cut post-harvest losses Problem (summary + evidence) Smallholder farmers in Sub-Saharan Africa lose a substantial portion of harvests after harvest due to spoilage, theft, and opaque supply chains. According to FAO and APHLIS, losses during post-harvest handling & storage for cereals are estimated at roughly 8-12%, while broader “production-to-consumption” losses in some FAO/World Bank reports reach up to 37% depending on region and crop. Th...",https://github.com/Allen-Brian/AGRICHAIN,DLT for Operations,"Crypto / Web3Appchain InfrastructureHedera, 1",,https://agrichainproject-by-dira.netlify.app/,https://youtu.be/CiYqXlrKAok?si=hcPigfTM_p7pnMbl
RD,Team_39,,,,,,,
HairCareChain,Team_33824,"Project Concept: HairCareChain – Blockchain-Powered Trust for Hair Products Problem - Many hair products are counterfeit, unsafe, or unverified, especially in beauty markets. - Customers often don’t trust product labels (ingredients, origin, authenticity). - Businesses struggle to build credibility without a transparent system. Solution (Powered by Hedera) HairCareChain is a blockchain platform that uses Hedera to ensure authenticity, transparency, and trust in hair product businesses.",https://github.com/EVA777130/HairCareChain.git,DLT for Operations,,,,
Food blockchain,Team_33823,Focused on building a network of food safety and transparency of various food products,,DLT for Operations,Crypto / Web3Decentralized MediaSecurity,,,
Ilé,Team_33821,"Ilé- Real Estate Tokenization & Marketplace Platform Project Overview Ile Properties is a blockchain-based real estate platform that democratizes property investment through tokenization, enabling fractional ownership and peer-to-peer trading of real estate assets. Built on the Hedera Hashgraph network, Ile transforms traditional real estate investment by making it accessible, liquid, and transparent.",https://github.com/luxipha/marketplace,Onchain Finance & Real-World Assets (RWA),"Crypto / Web3AptosSocialRWACrypto Adoption, 1, 3",,,https://youtu.be/m-Ep-7uHV2k
kumAI,Team_33820,"KumAI is building the foundational infrastructure for sovereign, human-centered AI in Africa. While global AI models fail to understand African languages, dialects, and cultural contexts, KumAI empowers local communities to become co-creators not just consumers of the AI revolution. We combine Data-as-a-Service (DaaS) and Human-Feedback-as-a-Service (HFaaS) into a unified Web3 platform, where every contribution whether a Bambara proverb, a Wolof audio clip, or an RLHF judgment is securely sto...",https://github.com/kumai/kumai,AI & DePIN,"AI / Robotics, 3, 4",,,
AfCEN Platform,Team_33815,"Africa sits on some of the world’s richest renewable energy resources, yet less than 3% of global climate finance currently reaches the continent. While global investors are actively seeking impact-aligned opportunities, most African climate and energy projects fail to attract funding because of fragmented data, high due diligence costs, and illiquid financing structures. Developers often struggle to present standardized, investment-ready proposals, and smaller projects (typically under $50M)...",,DLT for Operations,"Crypto / Web3DeFi, 2",,,https://youtu.be/IrUhbKEe8Io
Decentralized wallet X,Team_33814,"_A transparent, fraud-resistant event ticketing dApp using Hedera Consensus Service (HCS) and Hashconnect for wallet integration_ 🌉. 1. NFT Tickets 🎫: Mint tickets as Hedera NFTs (HIP-412) with metadata (event details, seat #, etc.). 2. Real-Time Verification ✅: Use HCS to log ticket transfers/transactions immutably. 3. Wallet Integration 👛: Hashconnect for seamless wallet pairing (e.g., Blade, HashPack).",https://github.com/org/tobirepo,DLT for Operations,1,,,
AdoptHBAR,Team_33809,"AdoptHBAR – Brief Overview Vision: To make crypto adoption seamless, rewarding, and accessible for everyone using Hedera’s fast, low-fee, and eco-friendly network. Mission: Simplify onboarding, reward users for referrals, educate beginners, and build a thriving crypto community. Problem: Crypto adoption is slow due to complexity, high fees, and lack of incentives. Solution: A referral platform where users earn HBAR and NFTs for inviting friends, completing onboarding, and engaging with Hedera...",,Onchain Finance & Real-World Assets (RWA),Crypto / Web3Crypto AdoptionHedera,,,
futaverse,Team_33807,"Futaverse is a decentralized football metaverse that combines a blockchain-powered marketplace with an immersive mobile gaming console. On the marketplace (web app), users can mint, trade, and manage NFTs representing players, clubs, and trophies. Player NFTs evolve with age and performance, moving from rookies to legends, while clubs earn royalties from future transfers of their academy players. Special recognition items, like a yearly Ballon d’Or NFT, increase rarity and value for collectors.",https://github.com/markmatakili2/futaverse.git,Immersive Experience,"1, 2",,https://futaverse.vercel.app/,
Kpoma,Team_33803,"Simplifie la gestion des stocks → tout est centralisé, clair et automatiqueAutomatise les mouvements → chaque entrée/sortie est suivie sans risque d’oubli. Optimise les revenus → calcul automatique des marges, bénéfices et tendances de vente. Réduit les erreurs humaines → grâce à l’IA (enregistrement intelligent par texte ou voix). Offre une visibilité en temps réel → le commerçant sait exactement ce qu’il possède",,DLT for Operations,"Crypto / Web3Infra / API, 2",,,
NASA,Team_33802,"NASA BUIDL project is an innovative, forward-thinking initiative that seamlessly blends NASA's space exploration expertise with the decentralized power of Web3 and blockchain technology. At its core, it's a ""build"" (BUIDL, in crypto lingo) designed to tackle real-world challenges in space missions—like ensuring unbreakable data integrity for lunar landings—while opening doors to commercial opportunities and educational outreach. Imagine a secure, tamper-proof ecosystem where satellite data fl...",https://github.com/Eaglesfreind,DLT for Operations,"Crypto / Web3Hedera, 1",,,
Heru,Team_33800,The Guardian of Medical Cold Chain Integrity Ensuring every dose maintains its healing power from source to patient ![Hedera Guardian](https://hedera.com/guardian) ![Next.js](https://nextjs.org/) ![TypeScript](https://www.typescriptlang.org/),https://github.com/Chanchal-D/Heru,DLT for Operations,Crypto / Web3,,https://heru-pharma.com/,
Homebaise,Team_33799,"Project: Homebaise — Hedera-powered tokenized real estate marketplace (RWA + Onchain Finance) Purpose: Tokenize African real estate and farmland into HTS tokens + NFT certificates, enable micro-investing (min $10), remittance-to-investment, automated yield distribution, and a secondary marketplace. Homebaise turns real properties into tradeable, fractional tokens on Hedera. Each property is verified, issued a certificate NFT, and tokenized as a fungible HTS token with a dedicated treasury acc...",https://github.com/successaje/Homebaise,Onchain Finance & Real-World Assets (RWA),1,,,
Pesabits,Team_33795,We are tokenizing the African stock market and making it accessible globally. Africans living in diaspora can easily invest back home and global investors now have access to emerging market opportunities. Our tokenized stocks earn real dividends as the normal stocks do.,,Onchain Finance & Real-World Assets (RWA),Crypto / Web3DeFiInfra / API,,https://tajiri-market.vercel.app/,
Hederapay (crypto payment app,Team_33794,"Project Name HederaPay Project Description (BUIDL) HederaPay is a fast, secure, and low-cost crypto payment application built on the Hedera network. The app solves the problem of high transaction fees, long settlement times, and limited access to efficient digital payments in Africa and beyond. With HederaPay, users can: Send and receive payments instantly using HBAR and stablecoins. Pay merchants and businesses directly through QR codes or wallet addresses.",,Onchain Finance & Real-World Assets (RWA),1,,,
ChainHarvest,Team_33793,"ChainHarvest is a blockchain-powered platform that enables farmers, distributors, and consumers to track agricultural products with full transparency. It ensures fair trade, reduces fraud, and builds trust across the supply chain",,DLT for Operations,Other,,,
AgriConnect,Team_33792,Project Objectives Improve access to quality seeds and agricultural inputs for farmers. Facilitate access to modern farming equipment (through rental or group purchase). Create a structured market (platform or cooperative) to help farmers sell their produce. Proposed Solutions A connection platform (both physical and digital) that will: Link seed/input suppliers with farmers. Provide a rental or group-purchase service for modern farming equipment.,,DLT for Operations,"Other, 1",,,
Mindera-Run,Team_33790,"MinderaRun is a blockchain-powered mobile game that combines the fun of Subway Surfers-style gameplay with blockchain education and African culture. - Africa has the world’s youngest population (70% under 30) yet faces high youth unemployment (over 60% in some countries) [UNICEF, 2023]. - Blockchain adoption is growing, but blockchain literacy in Africa is limited — misinformation and lack of accessible education prevent many from benefiting.",https://github.com/Web3Baddies/GameD,Immersive Experience,"Crypto / Web3NFTGameFiWalletHedera, 1",,https://minderarun.vercel.app/,
Agritrace,Team_33782,"AgriTrace – Hackathon Hedera 2025 Traçabilité intelligente des produits agricoles grâce à Hedera Hashgraph Membre du groupe : 1. Assiatou BAH 2. Alpha Mamoudou DIALLO 3. Mamady M’boh CISSE Problème : 40% des récoltes agricoles en Afrique sont perdues après récolte (FAO). Manque de traçabilité → difficulté d’accès aux marchés internationaux (bio, équitable, export).",,DLT for Operations,1,,,
HISA CHAIN,Team_33781,https://hisa-peoples-chain.vercel.app/,,DLT for Operations,,,https://hisa-peoples-chain.vercel.app/,
Halal-Fi,Team_33772,,,Onchain Finance & Real-World Assets (RWA),1,,,
PropChain Invest,Team_33770,"""Democratizing Real Estate Investment Through Smart Ledger Technology"" PropChain aims to make premium Nigerian real estate accessible to everyone by breaking down traditional barriers to property investment. - Fractional Ownership: Own fractions of high-value properties starting from small amounts - Passive Income: Earn rental income proportional to your token holdings - Liquidity: Trade property tokens instantly (unlike traditional real estate)",https://github.com/Boxerbuzz/propchain-visuals,Onchain Finance & Real-World Assets (RWA),Crypto / Web3IPFSRWAWallet,,https://propchain-visuals.vercel.app/,
Unthink Real time brand engagement,Team_33765,"This project is a powerful Event Configurator for brands to build and manage interactive user experiences - like Virtual Try Ons and Scavenger Hunts. It enables the creation of guided journeys where customers can virtually try on items and create user-generated content, and the brands request permission to leverage this content and reward then for it in real time. A key feature is the ability to send automated, on-chain permission requests to users through the Hedera Consensus Service (HCS). ...",,DLT for Operations,"AI / Robotics, 1",,,
"Decentralized Supply Chain Tracking with Blockchain, QR Codes, and Secure Payments",Team_33763,"This mobile application provides a complete solution for tracking and managing logistics operations by leveraging blockchain technology. It allows owners to record and monitor truck journeys, enabling full traceability of goods from origin to destination. Each journey captures real-time data such as GPS location, temperature, and speed, which are securely stored on the Ethereum blockchain (Ganache) every 20 minutes.",https://github.com/hechem20/suiviechaine,DLT for Operations,Crypto / Web3,,,https://youtu.be/8MvlHrc0z8M
Fight For HBAR,Team_33759,"A high-stakes online PvP sword-fighting game where skill and strategy decide your fortune! Duel, wager HBAR, and claim victory in a decentralized battle arena.",https://github.com/nabil-repo/Fight-For-Hbar,Immersive Experience,1,,,https://youtu.be/Btt5TclLOIQ
Silsilat Finance - Liquidity For Pawn Shops,Team_33754,,,Onchain Finance & Real-World Assets (RWA),Crypto / Web3DeFiHederali,,https://app.silsilat.finance/,https://www.youtube.com/channel/UCNoQ4vrq60x6fjkEM7uTiYw
TrustShare,Team_33751,"TrustShare BUIDL is an innovative platform designed to simplify secure and transparent digital transactions on the blockchain. It empowers users to create, manage, and track shared assets or agreements with trustless automation. By leveraging smart contracts and Hedera’s fast, scalable network, TrustShare ensures that every transaction is verifiable, tamper-proof, and efficient.",,DLT for Operations,"Crypto / Web3, 1",,,
Strategic Crypto Save,Team_33748,,https://github.com/amazingprincelee/Strategic-Crypto-Save-Contract,Onchain Finance & Real-World Assets (RWA),"Crypto / Web3EthereumDeFi, 1",,https://strategic-crypto-save.vercel.app/,
P2P-Fed-Learning,Team_33746,"A peer-to-peer federated learning platform where ML users can train models affordably, and trainers with idle compute resources can monetize their CPUs/GPUs. The system leverages Hedera blockchain, Akave O3 decentralized storage, and py-libp2p networking for trust, transparency, and efficiency. Also we are using Hedera consensus mechanism for debugging if some trainer nodes failed to upload the weights",https://github.com/lla-dane/P2P-Federated-Learning,DLT for Operations,AI / Robotics,,https://eth-global-zeta.vercel.app/,
RendaHomes,Team_33743,RendaHomes is a decentralized real estate investment platform built on Hedera Hashgraph that democratizes property investment through blockchain tokenization. Core Features: - Property Tokenization: Property owners can list real estate and divide it into fractional tokens for sale - Fractional Investment: Investors can buy property tokens starting from small amounts instead of purchasing entire properties,https://github.com/marvybaby/RendaHomes,Onchain Finance & Real-World Assets (RWA),,,https://renda-homes.vercel.app/,
